PART_ID,temporal_CIRCLES,temporal_SQUARES,inspection_CIRCLES,inspection_SQUARES,temporal_circles_z,temporal_squares_z,inspection_circles_z,inspection_squares_z,temporal_mean,inspection_mean,temporal_best,inspection_best,ps_composite,temporal_factor,inspection_factor
Y2-S2-015K27,0.6666666666666666,2.8333333333333335,4,3.8333333333333335,-0.7596123490487678,0.5698074141140841,-0.29357377753386,-0.1339899099320738,-0.09490246746734188,-0.21378184373296688,0.5698074141140841,-0.29357377753386,-0.15434215560015438,0.07592870023471235,-0.009963021368409257
Y2-S2-017K23,3,1.5,3.8333333333333335,2.5,1.5248514562386377,-0.3710845437113075,-0.3935382340718084,-1.0807612532084536,0.5768834562636651,-0.737149743640131,-0.3710845437113075,-0.3935382340718084,-0.08013314368823295,-0.34715913238049056,-0.46597596484768466
Y2-S2-018K21,0.3333333333333333,0.6666666666666666,4,4.333333333333333,-1.0859643212326828,-0.9591420173521773,-0.29357377753386,0.22104934379656827,-1.0225531692924301,-0.036262216868645863,-0.9591420173521773,-0.29357377753386,-0.5294076930805379,-0.6292916631653079,-0.4827060330347433
Y2-S2-019K19,1,1.5,4.833333333333333,2.5,-0.4332603768648527,-0.3710845437113075,0.2062485051558823,-1.0807612532084536,-0.40217246028808007,-0.43725637402628564,-0.3710845437113075,0.2062485051558823,-0.4197144171571829,-0.41986254957123736,-0.4216212859156149
Y2-S2-020K19,0.8333333333333334,0.5,4.833333333333333,2.3333333333333335,-0.5964363629568102,-1.076753512080351,0.2062485051558823,-1.1991076711180009,-0.8365949375185806,-0.49642958298105927,-1.076753512080351,0.2062485051558823,-0.66651226024982,-0.81028632715704,-0.7257149090615522
Y2-S2-021M22,2.1666666666666665,1.3333333333333333,3.5,7.166666666666667,0.7089715257788498,-0.4886960384394815,-0.5934671471477054,2.2329384482588757,0.11013774366968415,0.8197356505555851,-0.4886960384394815,-0.5934671471477054,0.46493669711263463,0.1871169729791679,0.34159350091048707
Y2-S2-022M27,0.5,1.3333333333333333,3,4,-0.9227883351407253,-0.4886960384394815,-0.8933605167615509,-0.01564349202252644,-0.7057421867901035,-0.4545020043920387,-0.4886960384394815,-0.8933605167615509,-0.5801220955910711,-0.5970646490872851,-0.588785787079375
Y2-S2-024M20,2,1.5,3.1666666666666665,3.5,0.5457955396868924,-0.3710845437113075,-0.7933960602236025,-0.37068274575116883,0.08735549798779246,-0.5820394029873857,-0.3710845437113075,-0.7933960602236025,-0.24734195249979662,-0.4149145009561777,-0.48578073647321474
Y2-S2-025K21,1.3333333333333333,1.3333333333333333,3.1666666666666665,2.1666666666666665,-0.10690840468093772,-0.4886960384394815,-0.7933960602236025,-1.3174540890275486,-0.29780222156020963,-1.0554250746255756,-0.4886960384394815,-0.7933960602236025,-0.6766136480928926,-0.7638405046308906,-0.8707193286083384
Y2-S2-026K24,1.1666666666666667,1.6666666666666667,3.5,3.6666666666666665,-0.2700843907728951,-0.2534730489831335,-0.5934671471477054,-0.25233632784162147,-0.26177871987801427,-0.4229017374946634,-0.2534730489831335,-0.5934671471477054,-0.34234022868633884,-0.3748982542016732,-0.40764801007522616
Y2-S2-027K22,1.1666666666666667,3.5,3.6666666666666665,4.166666666666667,-0.2700843907728951,1.0402533930267799,-0.49350269060975704,0.10270292588702123,0.38508450112694237,-0.1953998823613679,1.0402533930267799,-0.49350269060975704,0.09484230938278725,0.36307386852810586,0.201154176904343
