PART_ID,AS_1,AS_2,AS_3,AS_4,PS_1,PS_2,PS_3,PS_4,temporal_CIRCLES,temporal_SQUARES,inspection_CIRCLES,inspection_SQUARES,anti_mean,pro_mean,contrast,flag_AS_1_too_fast,flag_AS_2_too_fast,flag_AS_3_too_fast,flag_AS_4_too_fast,flag_PS_1_too_fast,flag_PS_2_too_fast,flag_PS_3_too_fast,flag_PS_4_too_fast,flag_AS_1_too_slow,flag_AS_2_too_slow,flag_AS_3_too_slow,flag_AS_4_too_slow,flag_PS_1_too_slow,flag_PS_2_too_slow,flag_PS_3_too_slow,flag_PS_4_too_slow,flag_negative_contrast,flag_zero_temporal_C,flag_zero_temporal_S,flag_zero_inspection_C,flag_zero_inspection_S,domain_outlier,mad_AS_1,mad_AS_2,mad_AS_3,mad_AS_4,mad_PS_1,mad_PS_2,mad_PS_3,mad_PS_4,mad_contrast,mad_temporal_C,mad_temporal_S,mad_inspection_C,mad_inspection_S,mad_outlier,mahal_dist_saccade,mahal_dist_processing,mahal_outlier_saccade,mahal_outlier_processing,mahal_outlier,stat_criteria_count,is_outlier,outlier_type
Y2-S2-029M24,442.8553714285714,619.0451428571429,542.8549714285714,566.6644,328.5701142857143,471.42668571428567,271.4274857142857,359.52237142857143,40.476028571428564,26.190371428571428,45.23791428571428,61.904514285714285,542.8549714285714,357.73666428571426,185.11830714285713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11.317046672750454,1.8196479120700788,FALSE,FALSE,FALSE,1,TRUE,Domain only
Y2-S2-030K23,304.76068571428567,304.76068571428567,342.8557714285714,342.8557714285714,209.52297142857142,304.76068571428567,283.3322,240.47522857142857,9.523771428571427,30.952257142857142,61.904514285714285,52.380742857142856,323.8082285714286,259.52277142857145,64.28545714285713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.748344948638572,0.7640481772840528,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-031M33,349.99859999999995,357.14142857142855,342.8557714285714,361.90331428571426,333.332,349.99859999999995,221.4276857142857,223.80862857142856,71.4282857142857,178.57071428571427,133.3328,85.71394285714285,352.97477857142854,282.14172857142853,70.83305000000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5.599847758420825,24.2183812235862,FALSE,TRUE,TRUE,2,TRUE,MAD + Multivariate
Y2-S2-033K24,276.18937142857146,307.14162857142856,242.8561714285714,249.999,204.7610857142857,223.80862857142856,314.28445714285715,304.76068571428567,19.047542857142854,28.571314285714283,73.80922857142858,73.80922857142858,269.04654285714287,261.9037142857143,7.142828571428595,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.6271135924792284,0.16689685871456844,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-034K26,299.99879999999996,288.09408571428565,290.47502857142854,283.3322,178.57071428571427,178.57071428571427,216.6658,164.28505714285714,16.6666,42.85697142857143,90.47582857142856,85.71394285714285,290.47502857142854,184.52307142857143,105.95195714285711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.20867623900936624,0.5528445715360581,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-035K29,297.61785714285713,254.7608857142857,369.04614285714285,314.28445714285715,159.5231714285714,183.33259999999999,145.23751428571427,190.47542857142855,23.80942857142857,26.190371428571428,130.95185714285714,99.99959999999999,308.92733571428573,169.64217857142856,139.28515714285717,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.9454945214821675,4.1805859806441035,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-037K20,211.90391428571425,264.28465714285716,266.6656,223.80862857142856,204.7610857142857,173.80882857142856,185.71354285714284,133.3328,7.142828571428571,26.190371428571428,49.99979999999999,64.28545714285714,241.6657,174.40406428571427,67.26163571428572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8164432278546727,0.7146290880233312,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-044K25,240.47522857142857,221.4276857142857,209.52297142857142,230.95145714285712,154.76128571428572,295.2369142857143,288.09408571428565,285.7131428571428,9.523771428571427,19.047542857142854,71.4282857142857,85.71394285714285,225.5943357142857,255.95135714285712,-30.357021428571414,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.337745915272846,1.173969789031347,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-045K30,304.76068571428567,326.18917142857146,299.99879999999996,302.37974285714284,190.47542857142855,159.5231714285714,138.09468571428573,161.90411428571426,57.14262857142857,47.61885714285714,66.6664,49.99979999999999,308.33209999999997,162.49935,145.83274999999998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.8618973091832687,1.3957115472514159,FALSE,FALSE,FALSE,0,FALSE,None
Y2-S2-046K25,1016.6625999999999,1371.4230857142857,457.14102857142854,442.8553714285714,790.4730285714286,216.6658,204.7610857142857,319.0463428571428,140.47562857142856,21.428485714285713,240.47522857142857,92.85677142857142,822.0205214285713,382.7365642857143,439.28395714285705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,105.5252594784464,28.25386600162884,TRUE,TRUE,TRUE,2,TRUE,Domain + Statistical
